,open,close,high,low,volume,money
2014-01-10,2216.52,2204.85,2224.49,2200.22,5416929300.0,47572309533.0
2014-01-13,2207.0,2193.68,2222.07,2183.6,5012277200.0,46123003754.0
2014-01-14,2192.84,2212.85,2214.12,2179.91,5404994700.0,46785099888.0
2014-01-15,2210.02,2208.94,2215.9,2193.8,4896239500.0,45755914348.0
2014-01-16,2209.45,2211.84,2227.26,2201.56,5229890200.0,49842784005.0
2014-01-17,2203.82,2178.49,2205.97,2175.88,5027315500.0,46268159163.0
2014-01-20,2173.65,2165.99,2182.46,2156.46,4056015400.0,39157227541.0
2014-01-21,2168.42,2187.41,2197.92,2168.42,4030624700.0,38590992772.0
2014-01-22,2190.43,2243.8,2244.13,2187.53,7064137500.0,64803357078.0
2014-01-23,2242.24,2231.89,2248.92,2228.06,5634595100.0,55726417393.0
2014-01-24,2225.76,2245.68,2257.36,2222.89,6116767000.0,59563444873.0
2014-01-27,2233.01,2215.92,2233.23,2211.8,7034424600.0,63503992484.0
2014-01-28,2220.78,2219.86,2233.26,2205.97,5326913000.0,49408754555.0
2014-01-29,2225.71,2227.78,2233.06,2219.93,5022271700.0,48788682770.0
2014-01-30,2223.16,2202.45,2223.16,2200.22,4363230400.0,43475960839.0
2014-02-07,2187.34,2212.48,2212.5,2177.12,5045931500.0,49597106433.0
2014-02-10,2221.54,2267.53,2270.19,2221.54,8306571600.0,81103244127.0
2014-02-11,2267.74,2285.56,2296.52,2262.6,9922982900.0,92688969126.0
2014-02-12,2286.19,2291.25,2294.32,2276.44,7659216100.0,73487379679.0
2014-02-13,2288.45,2279.55,2307.47,2278.26,9621778900.0,87352124305.0
2014-02-14,2278.4,2295.57,2295.85,2274.43,6708299700.0,64613327719.0
2014-02-17,2308.79,2311.65,2315.58,2293.55,8783166600.0,86871352624.0
2014-02-18,2310.31,2282.44,2310.31,2276.11,8704974300.0,88107267954.0
2014-02-19,2280.93,2308.66,2317.42,2274.15,9935256100.0,88341900374.0
2014-02-20,2314.09,2287.44,2331.7,2286.2,10643953300.0,91771595713.0
2014-02-21,2284.03,2264.29,2287.87,2250.65,7636899300.0,69908188663.0
2014-02-24,2246.72,2214.51,2246.72,2194.16,8921593900.0,79599146389.0
2014-02-25,2216.51,2157.91,2225.21,2150.09,9323755100.0,88306571728.0
2014-02-26,2147.74,2163.41,2164.7,2137.08,7799329700.0,68640581126.0
2014-02-27,2170.81,2154.11,2180.06,2150.14,9010429600.0,81587999653.0
2014-02-28,2149.45,2178.97,2180.47,2133.55,7666805700.0,70216798972.0
2014-03-03,2173.91,2190.37,2194.22,2167.91,8207231400.0,69408739897.0
2014-03-04,2183.86,2184.27,2188.6,2161.59,7306925000.0,64691438035.0
2014-03-05,2187.35,2163.98,2189.09,2159.59,6133201500.0,55669679402.0
2014-03-06,2159.4,2173.63,2181.43,2136.45,6909376700.0,61495023657.0
2014-03-07,2170.04,2168.36,2189.39,2161.44,6426517700.0,58693177974.0
2014-03-10,2149.68,2097.79,2149.68,2095.07,7141640700.0,63086412572.0
2014-03-11,2092.61,2108.66,2118.79,2088.73,5762124300.0,53075782462.0
2014-03-12,2102.8,2114.13,2130.59,2090.76,7006974700.0,60115239174.0
2014-03-13,2119.55,2140.33,2149.44,2115.99,6922602800.0,59163094375.0
2014-03-14,2129.87,2122.84,2140.38,2109.57,5861773700.0,49805247510.0
2014-03-17,2132.79,2143.04,2143.2,2118.95,5240944500.0,47571288733.0
2014-03-18,2146.12,2138.13,2152.46,2134.92,5535413200.0,54188441365.0
2014-03-19,2131.28,2120.87,2131.28,2101.28,5930390500.0,55283943974.0
2014-03-20,2116.18,2086.97,2134.79,2086.5,6763128500.0,58951601970.0
2014-03-21,2079.87,2158.8,2163.22,2077.76,10402480700.0,83560511769.0
2014-03-24,2161.9,2176.55,2186.73,2150.87,10449198400.0,81203913733.0
2014-03-25,2170.78,2174.44,2191.49,2164.67,8687751000.0,67548473561.0
2014-03-26,2181.23,2171.05,2186.08,2165.22,5827617600.0,50116023097.0
2014-03-27,2168.34,2155.71,2186.89,2146.92,7127513200.0,62175860350.0
2014-03-28,2154.51,2151.97,2172.67,2144.58,7008607300.0,60123341093.0
2014-03-31,2156.05,2146.3,2165.25,2134.42,5545748800.0,48105020054.0
2014-04-01,2143.72,2163.11,2170.09,2141.15,4886640300.0,43659064291.0
2014-04-02,2166.07,2180.73,2182.68,2164.01,6503925700.0,56777151867.0
2014-04-03,2188.64,2165.01,2196.14,2160.75,7153603200.0,57708859685.0
2014-04-04,2157.98,2185.47,2186.15,2155.28,4794588800.0,43912624261.0
2014-04-08,2179.92,2237.32,2243.97,2178.91,9721911700.0,85692893370.0
2014-04-09,2239.79,2238.62,2246.79,2228.99,6635726800.0,61178630422.0
2014-04-10,2241.45,2273.76,2290.74,2229.51,11454540500.0,101616815025.0
2014-04-11,2269.57,2270.67,2281.11,2261.13,9061589700.0,86154853765.0
2014-04-14,2267.94,2268.61,2275.83,2255.46,6226499800.0,60254151500.0
2014-04-15,2261.41,2229.46,2261.47,2225.68,6821813000.0,62599115638.0
2014-04-16,2223.47,2232.53,2245.32,2221.15,5167801000.0,47770218198.0
2014-04-17,2238.78,2224.8,2241.62,2221.95,4833362800.0,45096433749.0
2014-04-18,2215.88,2224.48,2228.77,2203.05,5075799500.0,45709617096.0
2014-04-21,2209.94,2187.25,2231.71,2186.76,5627828000.0,51856112765.0
2014-04-22,2184.02,2196.8,2196.85,2165.07,5709469400.0,52351993061.0
2014-04-23,2191.23,2194.67,2205.59,2187.39,4776353100.0,45191150830.0
2014-04-24,2192.77,2190.47,2209.45,2186.76,4505891100.0,41927012945.0
2014-04-25,2195.82,2167.83,2201.71,2167.64,6024538300.0,52092022381.0
2014-04-28,2165.77,2134.97,2171.39,2132.7,6048518700.0,49998809829.0
2014-04-29,2134.41,2158.47,2159.38,2131.78,4820493100.0,41550353157.0
2014-04-30,2158.76,2158.66,2164.18,2153.12,4533462400.0,39493022295.0
2014-05-05,2152.59,2156.47,2161.7,2131.23,4934407300.0,41470449799.0
2014-05-06,2151.39,2157.33,2173.62,2150.11,4808651900.0,41486451628.0
2014-05-07,2151.47,2137.32,2153.72,2136.99,4460747000.0,37751019661.0
2014-05-08,2132.04,2135.5,2168.21,2128.32,4833245200.0,40729772017.0
2014-05-09,2138.84,2133.91,2141.56,2120.59,4918113500.0,40242745273.0
2014-05-12,2150.31,2180.05,2184.33,2139.48,8347256000.0,66275508636.0
2014-05-13,2180.06,2174.85,2185.05,2167.77,6491251800.0,50241276089.0
2014-05-14,2175.09,2172.37,2184.22,2169.0,4851420600.0,39214123931.0
2014-05-15,2169.28,2144.08,2171.45,2142.34,4673403200.0,38938529216.0
2014-05-16,2143.93,2145.95,2150.5,2132.19,4225319700.0,34987586802.0
2014-05-19,2139.36,2115.14,2139.36,2105.71,4289360700.0,37135950607.0
2014-05-20,2124.71,2115.77,2131.57,2110.72,3729968300.0,31576339037.0
2014-05-21,2106.76,2135.91,2136.1,2096.51,3894604200.0,32246807970.0
2014-05-22,2134.09,2130.87,2160.91,2128.86,4625273600.0,39227549718.0
2014-05-23,2130.78,2148.41,2148.58,2128.66,3762310500.0,32420020159.0
2014-05-26,2161.89,2155.98,2165.42,2147.45,3955065600.0,37788482728.0
2014-05-27,2154.39,2147.28,2160.03,2145.75,3589717100.0,32374256462.0
2014-05-28,2147.47,2169.35,2171.17,2142.01,5005626000.0,45627619375.0
2014-05-29,2171.26,2155.16,2178.09,2154.93,4489155600.0,41076912680.0
2014-05-30,2156.38,2156.46,2166.91,2146.22,4392386300.0,39769199791.0
2014-06-03,2157.64,2149.92,2168.99,2149.29,4198295400.0,37906226058.0
2014-06-04,2149.41,2128.27,2149.45,2117.31,4181724900.0,35607022812.0
2014-06-05,2126.61,2150.6,2150.93,2123.52,3647742400.0,33050774675.0
2014-06-06,2149.21,2134.72,2149.78,2123.98,3573805800.0,32415599488.0
2014-06-09,2128.22,2134.28,2153.9,2126.66,3931106000.0,35326732064.0
2014-06-10,2138.67,2161.27,2161.53,2132.45,5050790200.0,44416141206.0
2014-06-11,2156.15,2160.77,2163.61,2152.08,4256371800.0,37311080748.0
2014-06-12,2156.76,2153.41,2160.99,2148.41,4302584300.0,37252041741.0
2014-06-13,2150.99,2176.24,2183.64,2150.57,5925287600.0,51765511450.0
2014-06-16,2176.44,2191.86,2196.34,2174.28,6329687500.0,56904298384.0
2014-06-17,2185.68,2169.67,2185.68,2168.45,4993366500.0,46244977817.0
2014-06-18,2169.25,2160.24,2172.55,2158.5,4946389700.0,42538095511.0
2014-06-19,2161.43,2126.91,2166.41,2119.5,5316264500.0,46029744918.0
2014-06-20,2124.96,2136.73,2137.03,2120.81,4239371900.0,35425712925.0
2014-06-23,2137.93,2134.11,2147.23,2132.45,4117925800.0,37112428752.0
2014-06-24,2131.69,2144.82,2145.21,2130.29,4016435600.0,38778505304.0
2014-06-25,2141.73,2133.37,2141.73,2126.03,3766610000.0,33809315524.0
2014-06-26,2135.16,2149.08,2151.11,2134.89,4435116600.0,40601836632.0
2014-06-27,2146.37,2150.26,2159.53,2138.93,5272289600.0,45525673947.0
2014-06-30,2152.31,2165.12,2168.22,2152.31,5430418800.0,50277570814.0
2014-07-01,2169.2,2164.56,2171.15,2157.13,5332310000.0,49936284309.0
2014-07-02,2164.0,2170.87,2171.51,2155.61,5968550100.0,53273658927.0
2014-07-03,2169.0,2180.19,2184.96,2164.84,6369069000.0,56024939299.0
2014-07-04,2180.45,2178.7,2183.8,2174.07,5285110600.0,47990033413.0
2014-07-07,2178.55,2176.29,2186.2,2171.08,5024233400.0,47663876919.0
2014-07-08,2174.83,2180.47,2180.78,2163.36,5074359900.0,46017266874.0
2014-07-09,2178.14,2148.71,2178.51,2148.26,6202204600.0,58980248398.0
2014-07-10,2146.6,2142.85,2151.77,2139.52,5573249700.0,50931668887.0
2014-07-11,2136.32,2148.01,2154.74,2134.8,6137427400.0,51551825645.0
2014-07-14,2149.54,2171.76,2171.9,2145.28,6615886300.0,60467088864.0
2014-07-15,2170.09,2174.98,2176.27,2165.21,7181569400.0,64304875149.0
2014-07-16,2172.82,2170.87,2183.25,2166.77,8156023000.0,61126054498.0
2014-07-17,2166.83,2157.07,2166.93,2147.08,5945356800.0,46354646289.0
2014-07-18,2147.66,2164.14,2176.32,2145.45,6547329500.0,53758919136.0
